Phrase,Match,Similiarity
much premiums grown compared claims India ?,premiums market share top 5 companies India ?,0.073746465
much premiums grown compared claims India ?,risks motor insurance segment India ?,0.17373158
much premiums grown compared claims India ?,impacted airline industry 2020 ?,0.090593874
much premiums grown compared claims India ?,forecasted insurance premium penetration country trend compare peers ?,0.11161242
much premiums grown compared claims India ?,"profit margins airlines industry years , regions ?",0.0985221
much premiums grown compared claims India ?,oil industry perform Brazil ?,0.11332087
biggest acquisitions 2020 ?,much premiums grown compared claims India ?,0.1534397
biggest acquisitions 2020 ?,biggest acquisitions 2020 ?,1.0
biggest acquisitions 2020 ?,share price Qantas ?,0.12666862
biggest acquisitions 2020 ?,main distribution channels India ?,0.58169997
biggest acquisitions 2020 ?,economic profit country compare others ?,0.1250642
biggest acquisitions 2020 ?,top airports ?,0.39394462
biggest acquisitions 2020 ?,many fatal air accidents till date ?,0.18761879
biggest acquisitions 2020 ?,fleet Airbus ?,0.092320114
biggest acquisitions 2020 ?,List key performance indicators AXA ?,0.08526453
biggest acquisitions 2020 ?,company general information ?,0.08870337
biggest acquisitions 2020 ?,best performing insurance firms India ?,0.45546368
biggest acquisitions 2020 ?,premiums earned Indian insurance industry 2020 ?,0.028880503
biggest acquisitions 2020 ?,premiums break lines business India ?,0.028880503
biggest acquisitions 2020 ?,aircrafts manufactured Boeing ?,0.0037435964
biggest acquisitions 2020 ?,Insurance premiums market Country,0.064593405
biggest acquisitions 2020 ?,Mergers among airline companies ?,0.056354992
biggest acquisitions 2020 ?,demand potential India insurance ?,0.052820913
biggest acquisitions 2020 ?,Airlines profitability Brazil ?,0.054598182
biggest acquisitions 2020 ?,Details Aban Abraham oil rig ?,-0.009657733
biggest acquisitions 2020 ?,world premium penetration 2020,0.28041753
biggest acquisitions 2020 ?,flow air traffic North America ?,0.01312929
biggest acquisitions 2020 ?,Brazilian insurance market perform case sluggish economic scenario ?,0.08848584
biggest acquisitions 2020 ?,capacity movement airline companies years ?,0.10138785
biggest acquisitions 2020 ?,big airlines industry China ?,0.6336529
biggest acquisitions 2020 ?,main driver growth automobile industry Europe ?,0.58169997
biggest acquisitions 2020 ?,ROE Indian market ?,0.03750275
biggest acquisitions 2020 ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.050353147
biggest acquisitions 2020 ?,profitable airports ?,0.17160611
biggest acquisitions 2020 ?,Give detailed breakup income expenses South-East Asia,0.07881594
biggest acquisitions 2020 ?,detailed income statement breakdown Axa ?,0.05671333
biggest acquisitions 2020 ?,country Europe going grow 2020 ?,0.19195789
biggest acquisitions 2020 ?,airline industry performing globally ?,0.07650538
biggest acquisitions 2020 ?,prominent legal cases ?,0.31462547
biggest acquisitions 2020 ?,Show oil rigs world,0.07054537
biggest acquisitions 2020 ?,profits clocked Cholamandalam 2020 ?,0.12108504
biggest acquisitions 2020 ?,prominent bankruptcies 2020 ?,0.31462547
biggest acquisitions 2020 ?,Lloyd 's syndicates owns maximum number assets ?,0.06830923
biggest acquisitions 2020 ?,company compares peers ?,0.08870337
biggest acquisitions 2020 ?,many passengers carried ?,0.18761879
biggest acquisitions 2020 ?,total losses companies country non life market ?,0.30687773
biggest acquisitions 2020 ?,much money Lloyd 's London make last year ?,0.1534397
biggest acquisitions 2020 ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.06944013
biggest acquisitions 2020 ?,profitable insurance company India,0.17160612
biggest acquisitions 2020 ?,complete profile top oil rigs ?,0.16077289
biggest acquisitions 2020 ?,premiums market share top 5 companies India ?,0.028880503
biggest acquisitions 2020 ?,risks motor insurance segment India ?,0.0023866352
biggest acquisitions 2020 ?,impacted airline industry 2020 ?,0.05879654
biggest acquisitions 2020 ?,forecasted insurance premium penetration country trend compare peers ?,0.039180752
biggest acquisitions 2020 ?,"profit margins airlines industry years , regions ?",0.15998337
biggest acquisitions 2020 ?,oil industry perform Brazil ?,0.104454346
share price Qantas ?,much premiums grown compared claims India ?,0.20537084
share price Qantas ?,biggest acquisitions 2020 ?,0.12666862
share price Qantas ?,share price Qantas ?,0.99999994
share price Qantas ?,main distribution channels India ?,0.062311083
share price Qantas ?,economic profit country compare others ?,0.07247943
share price Qantas ?,top airports ?,0.05894641
share price Qantas ?,many fatal air accidents till date ?,0.12454249
share price Qantas ?,fleet Airbus ?,0.025267744
share price Qantas ?,List key performance indicators AXA ?,0.097086415
share price Qantas ?,company general information ?,0.23245364
share price Qantas ?,best performing insurance firms India ?,0.12956825
share price Qantas ?,premiums earned Indian insurance industry 2020 ?,0.18151282
share price Qantas ?,premiums break lines business India ?,0.18151282
share price Qantas ?,aircrafts manufactured Boeing ?,0.06670135
share price Qantas ?,Insurance premiums market Country,0.0539141
share price Qantas ?,Mergers among airline companies ?,0.11637783
share price Qantas ?,demand potential India insurance ?,0.08689909
share price Qantas ?,Airlines profitability Brazil ?,0.043495715
share price Qantas ?,Details Aban Abraham oil rig ?,0.01770257
share price Qantas ?,world premium penetration 2020,0.1770231
share price Qantas ?,flow air traffic North America ?,0.16834584
share price Qantas ?,Brazilian insurance market perform case sluggish economic scenario ?,0.080815405
share price Qantas ?,capacity movement airline companies years ?,0.07577359
share price Qantas ?,big airlines industry China ?,0.05830391
share price Qantas ?,main driver growth automobile industry Europe ?,0.062311083
share price Qantas ?,ROE Indian market ?,0.22855815
share price Qantas ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.015634894
share price Qantas ?,profitable airports ?,0.18235976
share price Qantas ?,Give detailed breakup income expenses South-East Asia,0.14261472
share price Qantas ?,detailed income statement breakdown Axa ?,0.12055656
share price Qantas ?,country Europe going grow 2020 ?,0.09920533
share price Qantas ?,airline industry performing globally ?,0.07253395
share price Qantas ?,prominent legal cases ?,-0.0013407543
share price Qantas ?,Show oil rigs world,0.08941002
share price Qantas ?,profits clocked Cholamandalam 2020 ?,0.35115355
share price Qantas ?,prominent bankruptcies 2020 ?,-0.0013407543
share price Qantas ?,Lloyd 's syndicates owns maximum number assets ?,0.10582958
share price Qantas ?,company compares peers ?,0.23245364
share price Qantas ?,many passengers carried ?,0.124542505
share price Qantas ?,total losses companies country non life market ?,0.20470595
share price Qantas ?,much money Lloyd 's London make last year ?,0.20537084
share price Qantas ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.090989865
share price Qantas ?,profitable insurance company India,0.18235976
share price Qantas ?,complete profile top oil rigs ?,0.08533739
share price Qantas ?,premiums market share top 5 companies India ?,0.18151282
share price Qantas ?,risks motor insurance segment India ?,0.03825573
share price Qantas ?,impacted airline industry 2020 ?,0.113157324
share price Qantas ?,forecasted insurance premium penetration country trend compare peers ?,0.12905681
share price Qantas ?,"profit margins airlines industry years , regions ?",0.3893928
share price Qantas ?,oil industry perform Brazil ?,0.098302364
main distribution channels India ?,much premiums grown compared claims India ?,0.10122088
main distribution channels India ?,biggest acquisitions 2020 ?,0.58169997
main distribution channels India ?,share price Qantas ?,0.062311083
main distribution channels India ?,main distribution channels India ?,1.0
main distribution channels India ?,economic profit country compare others ?,0.11064084
main distribution channels India ?,top airports ?,0.3664313
main distribution channels India ?,many fatal air accidents till date ?,0.16033939
main distribution channels India ?,fleet Airbus ?,-0.020139836
main distribution channels India ?,List key performance indicators AXA ?,0.06895008
main distribution channels India ?,company general information ?,0.032306015
main distribution channels India ?,best performing insurance firms India ?,0.26869762
main distribution channels India ?,premiums earned Indian insurance industry 2020 ?,-0.018611468
main distribution channels India ?,premiums break lines business India ?,-0.018611468
main distribution channels India ?,aircrafts manufactured Boeing ?,0.008629974
main distribution channels India ?,Insurance premiums market Country,0.02632809
main distribution channels India ?,Mergers among airline companies ?,-0.03704382
main distribution channels India ?,demand potential India insurance ?,0.062569454
main distribution channels India ?,Airlines profitability Brazil ?,0.019454192
main distribution channels India ?,Details Aban Abraham oil rig ?,0.022664221
main distribution channels India ?,world premium penetration 2020,0.07460834
main distribution channels India ?,flow air traffic North America ?,0.14714149
main distribution channels India ?,Brazilian insurance market perform case sluggish economic scenario ?,0.092073925
main distribution channels India ?,capacity movement airline companies years ?,0.12794834
main distribution channels India ?,big airlines industry China ?,0.4085334
main distribution channels India ?,main driver growth automobile industry Europe ?,1.0
main distribution channels India ?,ROE Indian market ?,0.026410155
main distribution channels India ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.057924204
main distribution channels India ?,profitable airports ?,0.098620564
main distribution channels India ?,Give detailed breakup income expenses South-East Asia,0.05590552
main distribution channels India ?,detailed income statement breakdown Axa ?,0.105566174
main distribution channels India ?,country Europe going grow 2020 ?,0.061135013
main distribution channels India ?,airline industry performing globally ?,-0.010090046
main distribution channels India ?,prominent legal cases ?,0.35186332
main distribution channels India ?,Show oil rigs world,0.04592988
main distribution channels India ?,profits clocked Cholamandalam 2020 ?,0.026522402
main distribution channels India ?,prominent bankruptcies 2020 ?,0.35186332
main distribution channels India ?,Lloyd 's syndicates owns maximum number assets ?,0.016690966
main distribution channels India ?,company compares peers ?,0.032306015
main distribution channels India ?,many passengers carried ?,0.16033939
main distribution channels India ?,total losses companies country non life market ?,0.16218826
main distribution channels India ?,much money Lloyd 's London make last year ?,0.10122088
main distribution channels India ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.063973665
main distribution channels India ?,profitable insurance company India,0.098620564
main distribution channels India ?,complete profile top oil rigs ?,0.15360852
main distribution channels India ?,premiums market share top 5 companies India ?,-0.018611468
main distribution channels India ?,risks motor insurance segment India ?,0.0024954919
main distribution channels India ?,impacted airline industry 2020 ?,0.044746123
main distribution channels India ?,forecasted insurance premium penetration country trend compare peers ?,0.007121725
main distribution channels India ?,"profit margins airlines industry years , regions ?",0.031751316
main distribution channels India ?,oil industry perform Brazil ?,0.05969651
economic profit country compare others ?,much premiums grown compared claims India ?,0.09383842
economic profit country compare others ?,biggest acquisitions 2020 ?,0.1250642
economic profit country compare others ?,share price Qantas ?,0.07247943
economic profit country compare others ?,main distribution channels India ?,0.11064084
economic profit country compare others ?,economic profit country compare others ?,1.0000001
economic profit country compare others ?,top airports ?,0.04034899
economic profit country compare others ?,many fatal air accidents till date ?,0.13844183
economic profit country compare others ?,fleet Airbus ?,0.06363663
economic profit country compare others ?,List key performance indicators AXA ?,-0.017436206
economic profit country compare others ?,company general information ?,0.18773618
economic profit country compare others ?,best performing insurance firms India ?,0.03423939
economic profit country compare others ?,premiums earned Indian insurance industry 2020 ?,0.15071331
economic profit country compare others ?,premiums break lines business India ?,0.15071331
economic profit country compare others ?,aircrafts manufactured Boeing ?,0.07937004
economic profit country compare others ?,Insurance premiums market Country,0.11355707
economic profit country compare others ?,Mergers among airline companies ?,0.20043153
economic profit country compare others ?,demand potential India insurance ?,0.29113507
economic profit country compare others ?,Airlines profitability Brazil ?,0.10747863
economic profit country compare others ?,Details Aban Abraham oil rig ?,0.044653367
economic profit country compare others ?,world premium penetration 2020,0.15414338
economic profit country compare others ?,flow air traffic North America ?,0.097716525
economic profit country compare others ?,Brazilian insurance market perform case sluggish economic scenario ?,-0.007112842
economic profit country compare others ?,capacity movement airline companies years ?,0.12062475
economic profit country compare others ?,big airlines industry China ?,0.08504678
economic profit country compare others ?,main driver growth automobile industry Europe ?,0.11064084
economic profit country compare others ?,ROE Indian market ?,0.12874813
economic profit country compare others ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.060854994
economic profit country compare others ?,profitable airports ?,0.20800377
economic profit country compare others ?,Give detailed breakup income expenses South-East Asia,0.058144014
economic profit country compare others ?,detailed income statement breakdown Axa ?,0.11992872
economic profit country compare others ?,country Europe going grow 2020 ?,0.27980244
economic profit country compare others ?,airline industry performing globally ?,0.18859881
economic profit country compare others ?,prominent legal cases ?,0.06985683
economic profit country compare others ?,Show oil rigs world,-0.047398828
economic profit country compare others ?,profits clocked Cholamandalam 2020 ?,0.29032487
economic profit country compare others ?,prominent bankruptcies 2020 ?,0.06985683
economic profit country compare others ?,Lloyd 's syndicates owns maximum number assets ?,-0.11696149
economic profit country compare others ?,company compares peers ?,0.18773618
economic profit country compare others ?,many passengers carried ?,0.13844183
economic profit country compare others ?,total losses companies country non life market ?,0.0204738
economic profit country compare others ?,much money Lloyd 's London make last year ?,0.09383842
economic profit country compare others ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.08990519
economic profit country compare others ?,profitable insurance company India,0.20800377
economic profit country compare others ?,complete profile top oil rigs ?,0.0026701055
economic profit country compare others ?,premiums market share top 5 companies India ?,0.15071331
economic profit country compare others ?,risks motor insurance segment India ?,0.18614051
economic profit country compare others ?,impacted airline industry 2020 ?,0.16106936
economic profit country compare others ?,forecasted insurance premium penetration country trend compare peers ?,0.22205842
economic profit country compare others ?,"profit margins airlines industry years , regions ?",0.252374
economic profit country compare others ?,oil industry perform Brazil ?,0.28961885
top airports ?,much premiums grown compared claims India ?,0.0012143925
top airports ?,biggest acquisitions 2020 ?,0.39394462
top airports ?,share price Qantas ?,0.05894641
top airports ?,main distribution channels India ?,0.3664313
top airports ?,economic profit country compare others ?,0.04034899
top airports ?,top airports ?,1.0000001
top airports ?,many fatal air accidents till date ?,0.09990998
top airports ?,fleet Airbus ?,0.04696531
top airports ?,List key performance indicators AXA ?,0.1849212
top airports ?,company general information ?,0.03754946
top airports ?,best performing insurance firms India ?,0.4541376
top airports ?,premiums earned Indian insurance industry 2020 ?,0.033171926
top airports ?,premiums break lines business India ?,0.033171926
top airports ?,aircrafts manufactured Boeing ?,-0.0020302366
top airports ?,Insurance premiums market Country,0.013343733
top airports ?,Mergers among airline companies ?,0.08061923
top airports ?,demand potential India insurance ?,0.008786039
top airports ?,Airlines profitability Brazil ?,0.030996874
top airports ?,Details Aban Abraham oil rig ?,0.027354527
top airports ?,world premium penetration 2020,0.19974068
top airports ?,flow air traffic North America ?,0.016284037
top airports ?,Brazilian insurance market perform case sluggish economic scenario ?,0.09748294
top airports ?,capacity movement airline companies years ?,0.030482363
top airports ?,big airlines industry China ?,0.31175143
top airports ?,main driver growth automobile industry Europe ?,0.3664313
top airports ?,ROE Indian market ?,0.09053014
top airports ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.019245593
top airports ?,profitable airports ?,0.12639253
top airports ?,Give detailed breakup income expenses South-East Asia,0.058321945
top airports ?,detailed income statement breakdown Axa ?,0.088740855
top airports ?,country Europe going grow 2020 ?,0.13646922
top airports ?,airline industry performing globally ?,0.033202253
top airports ?,prominent legal cases ?,0.37228996
top airports ?,Show oil rigs world,-0.0067950953
top airports ?,profits clocked Cholamandalam 2020 ?,0.070442066
top airports ?,prominent bankruptcies 2020 ?,0.37228996
top airports ?,Lloyd 's syndicates owns maximum number assets ?,0.09962307
top airports ?,company compares peers ?,0.03754946
top airports ?,many passengers carried ?,0.099909976
top airports ?,total losses companies country non life market ?,0.23331112
top airports ?,much money Lloyd 's London make last year ?,0.0012143925
top airports ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.07412561
top airports ?,profitable insurance company India,0.12639253
top airports ?,complete profile top oil rigs ?,0.15255205
top airports ?,premiums market share top 5 companies India ?,0.033171926
top airports ?,risks motor insurance segment India ?,0.015708014
top airports ?,impacted airline industry 2020 ?,-0.0036537498
top airports ?,forecasted insurance premium penetration country trend compare peers ?,0.04137333
top airports ?,"profit margins airlines industry years , regions ?",0.01570554
top airports ?,oil industry perform Brazil ?,0.085093364
many fatal air accidents till date ?,much premiums grown compared claims India ?,0.41626975
many fatal air accidents till date ?,biggest acquisitions 2020 ?,0.18761879
many fatal air accidents till date ?,share price Qantas ?,0.12454249
many fatal air accidents till date ?,main distribution channels India ?,0.16033939
many fatal air accidents till date ?,economic profit country compare others ?,0.13844183
many fatal air accidents till date ?,top airports ?,0.09990998
many fatal air accidents till date ?,many fatal air accidents till date ?,1.0
many fatal air accidents till date ?,fleet Airbus ?,0.02554054
many fatal air accidents till date ?,List key performance indicators AXA ?,0.055729207
many fatal air accidents till date ?,company general information ?,0.07227918
many fatal air accidents till date ?,best performing insurance firms India ?,0.17464219
many fatal air accidents till date ?,premiums earned Indian insurance industry 2020 ?,0.038402103
many fatal air accidents till date ?,premiums break lines business India ?,0.038402103
many fatal air accidents till date ?,aircrafts manufactured Boeing ?,0.07088651
many fatal air accidents till date ?,Insurance premiums market Country,-0.019244611
many fatal air accidents till date ?,Mergers among airline companies ?,0.08625745
many fatal air accidents till date ?,demand potential India insurance ?,0.15604115
many fatal air accidents till date ?,Airlines profitability Brazil ?,0.0136386175
many fatal air accidents till date ?,Details Aban Abraham oil rig ?,0.058972184
many fatal air accidents till date ?,world premium penetration 2020,0.16060154
many fatal air accidents till date ?,flow air traffic North America ?,0.09506069
many fatal air accidents till date ?,Brazilian insurance market perform case sluggish economic scenario ?,0.026431069
many fatal air accidents till date ?,capacity movement airline companies years ?,0.09827145
many fatal air accidents till date ?,big airlines industry China ?,0.28192973
many fatal air accidents till date ?,main driver growth automobile industry Europe ?,0.16033939
many fatal air accidents till date ?,ROE Indian market ?,0.03543403
many fatal air accidents till date ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.0021955501
many fatal air accidents till date ?,profitable airports ?,0.11991912
many fatal air accidents till date ?,Give detailed breakup income expenses South-East Asia,0.009778724
many fatal air accidents till date ?,detailed income statement breakdown Axa ?,0.1254775
many fatal air accidents till date ?,country Europe going grow 2020 ?,0.21250093
many fatal air accidents till date ?,airline industry performing globally ?,0.052786518
many fatal air accidents till date ?,prominent legal cases ?,0.22754428
many fatal air accidents till date ?,Show oil rigs world,0.09067507
many fatal air accidents till date ?,profits clocked Cholamandalam 2020 ?,0.07513259
many fatal air accidents till date ?,prominent bankruptcies 2020 ?,0.22754428
many fatal air accidents till date ?,Lloyd 's syndicates owns maximum number assets ?,0.007298579
many fatal air accidents till date ?,company compares peers ?,0.07227918
many fatal air accidents till date ?,many passengers carried ?,1.0
many fatal air accidents till date ?,total losses companies country non life market ?,0.23244515
many fatal air accidents till date ?,much money Lloyd 's London make last year ?,0.41626975
many fatal air accidents till date ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.110427976
many fatal air accidents till date ?,profitable insurance company India,0.11991912
many fatal air accidents till date ?,complete profile top oil rigs ?,0.07589501
many fatal air accidents till date ?,premiums market share top 5 companies India ?,0.038402103
many fatal air accidents till date ?,risks motor insurance segment India ?,0.18973018
many fatal air accidents till date ?,impacted airline industry 2020 ?,0.15963157
many fatal air accidents till date ?,forecasted insurance premium penetration country trend compare peers ?,0.041001543
many fatal air accidents till date ?,"profit margins airlines industry years , regions ?",0.050722525
many fatal air accidents till date ?,oil industry perform Brazil ?,0.08435431
fleet Airbus ?,much premiums grown compared claims India ?,0.009142833
fleet Airbus ?,biggest acquisitions 2020 ?,0.092320114
fleet Airbus ?,share price Qantas ?,0.025267744
fleet Airbus ?,main distribution channels India ?,-0.020139836
fleet Airbus ?,economic profit country compare others ?,0.06363663
fleet Airbus ?,top airports ?,0.04696531
fleet Airbus ?,many fatal air accidents till date ?,0.02554054
fleet Airbus ?,fleet Airbus ?,1.0
fleet Airbus ?,List key performance indicators AXA ?,0.080549754
fleet Airbus ?,company general information ?,0.23352787
fleet Airbus ?,best performing insurance firms India ?,0.07243809
fleet Airbus ?,premiums earned Indian insurance industry 2020 ?,0.14082293
fleet Airbus ?,premiums break lines business India ?,0.14082293
fleet Airbus ?,aircrafts manufactured Boeing ?,0.44240415
fleet Airbus ?,Insurance premiums market Country,0.11295961
fleet Airbus ?,Mergers among airline companies ?,0.052251283
fleet Airbus ?,demand potential India insurance ?,0.16851956
fleet Airbus ?,Airlines profitability Brazil ?,0.21233356
fleet Airbus ?,Details Aban Abraham oil rig ?,-0.014901672
fleet Airbus ?,world premium penetration 2020,0.16133192
fleet Airbus ?,flow air traffic North America ?,-0.015641978
fleet Airbus ?,Brazilian insurance market perform case sluggish economic scenario ?,0.07087579
fleet Airbus ?,capacity movement airline companies years ?,0.26659727
fleet Airbus ?,big airlines industry China ?,0.035112172
fleet Airbus ?,main driver growth automobile industry Europe ?,-0.020139836
fleet Airbus ?,ROE Indian market ?,0.15348591
fleet Airbus ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,0.012427653
fleet Airbus ?,profitable airports ?,0.20522767
fleet Airbus ?,Give detailed breakup income expenses South-East Asia,0.016035544
fleet Airbus ?,detailed income statement breakdown Axa ?,0.08831322
fleet Airbus ?,country Europe going grow 2020 ?,0.14388539
fleet Airbus ?,airline industry performing globally ?,0.31277964
fleet Airbus ?,prominent legal cases ?,-0.03483851
fleet Airbus ?,Show oil rigs world,0.09014571
fleet Airbus ?,profits clocked Cholamandalam 2020 ?,0.08808765
fleet Airbus ?,prominent bankruptcies 2020 ?,-0.03483851
fleet Airbus ?,Lloyd 's syndicates owns maximum number assets ?,0.12135643
fleet Airbus ?,company compares peers ?,0.23352787
fleet Airbus ?,many passengers carried ?,0.025540546
fleet Airbus ?,total losses companies country non life market ?,0.21296212
fleet Airbus ?,much money Lloyd 's London make last year ?,0.009142833
fleet Airbus ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.06574839
fleet Airbus ?,profitable insurance company India,0.20522767
fleet Airbus ?,complete profile top oil rigs ?,0.08653863
fleet Airbus ?,premiums market share top 5 companies India ?,0.14082293
fleet Airbus ?,risks motor insurance segment India ?,0.071742825
fleet Airbus ?,impacted airline industry 2020 ?,0.04727368
fleet Airbus ?,forecasted insurance premium penetration country trend compare peers ?,0.18954924
fleet Airbus ?,"profit margins airlines industry years , regions ?",0.08411959
fleet Airbus ?,oil industry perform Brazil ?,0.15875272
List key performance indicators AXA ?,much premiums grown compared claims India ?,-0.03565455
List key performance indicators AXA ?,biggest acquisitions 2020 ?,0.08526453
List key performance indicators AXA ?,share price Qantas ?,0.097086415
List key performance indicators AXA ?,main distribution channels India ?,0.06895008
List key performance indicators AXA ?,economic profit country compare others ?,-0.017436206
List key performance indicators AXA ?,top airports ?,0.1849212
List key performance indicators AXA ?,many fatal air accidents till date ?,0.055729207
List key performance indicators AXA ?,fleet Airbus ?,0.080549754
List key performance indicators AXA ?,List key performance indicators AXA ?,1.0
List key performance indicators AXA ?,company general information ?,-0.000687547
List key performance indicators AXA ?,best performing insurance firms India ?,0.09858759
List key performance indicators AXA ?,premiums earned Indian insurance industry 2020 ?,0.03222487
List key performance indicators AXA ?,premiums break lines business India ?,0.03222487
List key performance indicators AXA ?,aircrafts manufactured Boeing ?,0.017428488
List key performance indicators AXA ?,Insurance premiums market Country,0.09614082
List key performance indicators AXA ?,Mergers among airline companies ?,0.060578544
List key performance indicators AXA ?,demand potential India insurance ?,0.0306674
List key performance indicators AXA ?,Airlines profitability Brazil ?,0.054526377
List key performance indicators AXA ?,Details Aban Abraham oil rig ?,0.118298955
List key performance indicators AXA ?,world premium penetration 2020,0.08292518
List key performance indicators AXA ?,flow air traffic North America ?,0.06342103
List key performance indicators AXA ?,Brazilian insurance market perform case sluggish economic scenario ?,-0.0019149445
List key performance indicators AXA ?,capacity movement airline companies years ?,0.008803891
List key performance indicators AXA ?,big airlines industry China ?,0.010331109
List key performance indicators AXA ?,main driver growth automobile industry Europe ?,0.06895008
List key performance indicators AXA ?,ROE Indian market ?,0.15485266
List key performance indicators AXA ?,Kdo je nejv ? tí konkurent ? eské Poji ? ovny ?,-0.008654602
List key performance indicators AXA ?,profitable airports ?,0.009204714
List key performance indicators AXA ?,Give detailed breakup income expenses South-East Asia,0.14815308
List key performance indicators AXA ?,detailed income statement breakdown Axa ?,0.07170392
List key performance indicators AXA ?,country Europe going grow 2020 ?,0.055178046
List key performance indicators AXA ?,airline industry performing globally ?,0.084185585
List key performance indicators AXA ?,prominent legal cases ?,0.10040211
List key performance indicators AXA ?,Show oil rigs world,0.27935597
List key performance indicators AXA ?,profits clocked Cholamandalam 2020 ?,0.041665047
List key performance indicators AXA ?,prominent bankruptcies 2020 ?,0.10040211
List key performance indicators AXA ?,Lloyd 's syndicates owns maximum number assets ?,0.18589512
List key performance indicators AXA ?,company compares peers ?,-0.000687547
List key performance indicators AXA ?,many passengers carried ?,0.055729207
List key performance indicators AXA ?,total losses companies country non life market ?,0.1470185
List key performance indicators AXA ?,much money Lloyd 's London make last year ?,-0.03565455
List key performance indicators AXA ?,Calendar year COR versus Accident year COR Lloyd 's ?,0.37717915
List key performance indicators AXA ?,profitable insurance company India,0.009204714
List key performance indicators AXA ?,complete profile top oil rigs ?,0.04685367
List key performance indicators AXA ?,premiums market share top 5 companies India ?,0.03222487
List key performance indicators AXA ?,risks motor insurance segment India ?,0.03038404
List key performance indicators AXA ?,impacted airline industry 2020 ?,0.018391816
List key performance indicators AXA ?,forecasted insurance premium penetration country trend compare peers ?,0.0023409836
List key performance indicators AXA ?,"profit margins airlines industry years , regions ?",0.071077056
List key performance indicators AXA ?,oil industry perform Brazil ?,0.024729285
